email,password,org,roles
cendrillon@mythos.world,password,cendrillon,nlpUser|botUser|admin|technicalAdmin
blanche.neige@mythos.world,password,blanche.neige,nlpUser|botUser|admin|technicalAdmin
belle.dormant@mythos.world,password,belle.dormant,nlpUser|botUser|admin|technicalAdmin
chaperon.rouge@mythos.world,password,chaperon.rouge,nlpUser|botUser|admin|technicalAdmin
hansel@mythos.world,password,hansel,nlpUser|botUser|admin|technicalAdmin
gretel@mythos.world,password,gretel,nlpUser|botUser|admin|technicalAdmin
chat.botte@mythos.world,password,chat.botte,nlpUser|botUser|admin|technicalAdmin
barbe.bleue@mythos.world,password,barbe.bleue,nlpUser|botUser|admin|technicalAdmin
petite.sirene@mythos.world,password,petite.sirene,nlpUser|botUser|admin|technicalAdmin
roi.arthur@mythos.world,password,roi.arthur,nlpUser|botUser|admin|technicalAdmin
merlin@mythos.world,password,merlin,nlpUser|botUser|admin|technicalAdmin
lancelot@mythos.world,password,lancelot,nlpUser|botUser|admin|technicalAdmin
guenievre@mythos.world,password,guenievre,nlpUser|botUser|admin|technicalAdmin
morgane@mythos.world,password,morgane,nlpUser|botUser|admin|technicalAdmin
perceval@mythos.world,password,perceval,nlpUser|botUser|admin|technicalAdmin
petit.poucet@mythos.world,password,petit.poucet,nlpUser|botUser|admin|technicalAdmin
rumpelstiltskin@mythos.world,password,rumpelstiltskin,nlpUser|botUser|admin|technicalAdmin
raiponce@mythos.world,password,raiponce,nlpUser|botUser|admin|technicalAdmin
pinocchio@mythos.world,password,pinocchio,nlpUser|botUser|admin|technicalAdmin
aladdin@mythos.world,password,aladdin,nlpUser|botUser|admin|technicalAdmin
ali.baba@mythos.world,password,ali.baba,nlpUser|botUser|admin|technicalAdmin
sinbad@mythos.world,password,sinbad,nlpUser|botUser|admin|technicalAdmin
sheherazade@mythos.world,password,sheherazade,nlpUser|botUser|admin|technicalAdmin
genie.lampe@mythos.world,password,genie.lampe,nlpUser|botUser|admin|technicalAdmin
peter.pan@mythos.world,password,peter.pan,nlpUser|botUser|admin|technicalAdmin
wendy@mythos.world,password,wendy,nlpUser|botUser|admin|technicalAdmin
crochet@mythos.world,password,crochet,nlpUser|botUser|admin|technicalAdmin
clochette@mythos.world,password,clochette,nlpUser|botUser|admin|technicalAdmin
petit.prince@mythos.world,password,petit.prince,nlpUser|botUser|admin|technicalAdmin
robin.bois@mythos.world,password,robin.bois,nlpUser|botUser|admin|technicalAdmin
marianne@mythos.world,password,marianne,nlpUser|botUser|admin|technicalAdmin
nottingham@mythos.world,password,nottingham,nlpUser|botUser|admin|technicalAdmin
bete@mythos.world,password,bete,nlpUser|botUser|admin|technicalAdmin
belle@mythos.world,password,belle,nlpUser|botUser|admin|technicalAdmin
vilain.canard@mythos.world,password,vilain.canard,nlpUser|botUser|admin|technicalAdmin
reine.neiges@mythos.world,password,reine.neiges,nlpUser|botUser|admin|technicalAdmin
gerda@mythos.world,password,gerda,nlpUser|botUser|admin|technicalAdmin
flute.hamelin@mythos.world,password,flute.hamelin,nlpUser|botUser|admin|technicalAdmin
pere.noel@mythos.world,password,pere.noel,nlpUser|botUser|admin|technicalAdmin
jack.frost@mythos.world,password,jack.frost,nlpUser|botUser|admin|technicalAdmin
baba.yaga@mythos.world,password,baba.yaga,nlpUser|botUser|admin|technicalAdmin
koschei@mythos.world,password,koschei,nlpUser|botUser|admin|technicalAdmin
thor@mythos.world,password,thor,nlpUser|botUser|admin|technicalAdmin
loki@mythos.world,password,loki,nlpUser|botUser|admin|technicalAdmin
odin@mythos.world,password,odin,nlpUser|botUser|admin|technicalAdmin
freyja@mythos.world,password,freyja,nlpUser|botUser|admin|technicalAdmin
hercule@mythos.world,password,hercule,nlpUser|botUser|admin|technicalAdmin
persee@mythos.world,password,persee,nlpUser|botUser|admin|technicalAdmin
meduse@mythos.world,password,meduse,nlpUser|botUser|admin|technicalAdmin
zeus@mythos.world,password,zeus,nlpUser|botUser|admin|technicalAdmin
hades@mythos.world,password,hades,nlpUser|botUser|admin|technicalAdmin
poseidon@mythos.world,password,poseidon,nlpUser|botUser|admin|technicalAdmin
ulysse@mythos.world,password,ulysse,nlpUser|botUser|admin|technicalAdmin
penelope@mythos.world,password,penelope,nlpUser|botUser|admin|technicalAdmin
achille@mythos.world,password,achille,nlpUser|botUser|admin|technicalAdmin
hector@mythos.world,password,hector,nlpUser|botUser|admin|technicalAdmin
oedipe@mythos.world,password,oedipe,nlpUser|botUser|admin|technicalAdmin
antigone@mythos.world,password,antigone,nlpUser|botUser|admin|technicalAdmin
pandore@mythos.world,password,pandore,nlpUser|botUser|admin|technicalAdmin
promethee@mythos.world,password,promethee,nlpUser|botUser|admin|technicalAdmin
orphee@mythos.world,password,orphee,nlpUser|botUser|admin|technicalAdmin
eurydice@mythos.world,password,eurydice,nlpUser|botUser|admin|technicalAdmin
tristan@mythos.world,password,tristan,nlpUser|botUser|admin|technicalAdmin
iseult@mythos.world,password,iseult,nlpUser|botUser|admin|technicalAdmin
beowulf@mythos.world,password,beowulf,nlpUser|botUser|admin|technicalAdmin
grendel@mythos.world,password,grendel,nlpUser|botUser|admin|technicalAdmin
mulan@mythos.world,password,mulan,nlpUser|botUser|admin|technicalAdmin
sunwukong@mythos.world,password,sunwukong,nlpUser|botUser|admin|technicalAdmin
nezha@mythos.world,password,nezha,nlpUser|botUser|admin|technicalAdmin
momotaro@mythos.world,password,momotaro,nlpUser|botUser|admin|technicalAdmin
urashima@mythos.world,password,urashima,nlpUser|botUser|admin|technicalAdmin
kaguya@mythos.world,password,kaguya,nlpUser|botUser|admin|technicalAdmin
tengu@mythos.world,password,tengu,nlpUser|botUser|admin|technicalAdmin
yukionna@mythos.world,password,yukionna,nlpUser|botUser|admin|technicalAdmin
anansi@mythos.world,password,anansi,nlpUser|botUser|admin|technicalAdmin
ogun@mythos.world,password,ogun,nlpUser|botUser|admin|technicalAdmin
nzinga@mythos.world,password,nzinga,nlpUser|botUser|admin|technicalAdmin
